word,frequency count
section,260180
title,73093
this,208707
hospital,4290
illegal,1465
care,24469
congress,28256
immigration,4576
federal,72237
responsibility,2867
naturalization,609
service,34996
take,9027
custody,1041
unlawfully,164
security,29743
individual,33695
medical,12807
condition,4191
either,3145
facilities,10161
further,5622
examination,1412
appropriate,24933
facility,11971
health,49629
country,7367
capita,449
area,16262
public,40794
costs,13373
certain,10185
secretary,124108
shall,243492
establish,11457
year,71958
pilot,5108
paragraph,83387
reimburse,642
personal,4470
reconciliation,960
provided,29177
transportation,10137
payment,14597
local,24308
plan,30189
insurance,14200
policy,9902
part,20798
case,21361
return,4038
attorney,9959
general,71006
after,73988
request,7962
receipt,3331
period,31143
threat,1809
child,12924
authority,16799
nationality,2545
order,15314
submit,14567
operation,5769
each,50384
report,34990
information,39088
average,4908
cost,14086
amount,41189
payable,2463
person,28324
extent,11843
affairs,7082
fiscal,33032
resources,11178
administration,13832
department,24671
necessary,17706
carry,17659
school,14726
improvements,2372
amendment,12795
national,45522
through,29431
technical,7801
eligible,26794
improve,5077
access,10999
purchase,4580
establishment,8845
between,8807
provision,13051
procure,582
healthy,920
curriculum,758
garden,74
community,12639
increase,8017
term,63868
means,42555
grant,22714
private,12769
design,4449
share,4532
form,5609
cash,1959
kind,1156
balance,1585
diversity,714
equitable,986
practices,5310
data,12319
proposal,1438
time,18702
manner,11084
review,13520
registered,2180
parties,2698
institution,9876
high,7259
free,3547
price,5102
farmer,228
potential,3884
long,4893
adequate,2261
determine,5750
relevant,4458
treasury,7243
agriculture,4798
until,5700
compensation,8408
majority,2997
armed,5403
normal,734
many,3081
have,29865
range,2099
joint,5839
loss,3929
were,8075
addition,4351
code,44672
disability,3331
combination,1189
manifest,102
degree,2133
regulation,6558
diagnosis,968
medicine,1462
academy,1086
effects,2840
specific,4713
presumptive,84
before,20149
date,62215
prescribe,3245
cause,3261
disorder,946
weight,787
presumption,375
effect,13933
second,3740
sentence,8358
apply,22773
application,18207
enrollment,2078
additional,11220
equal,9353
native,3424
prescription,2929
drug,11450
agreement,13452
subject,18870
distribution,5826
taking,2521
account,13528
enter,4333
special,9473
subsidy,475
clause,14277
pending,1458
initial,3589
approval,4635
prior,5790
waiver,3918
late,371
penalty,3580
premium,1354
improvement,3959
recovery,3055
formula,732
internal,10621
revenue,11511
gross,4464
taxable,18324
half,1614
immediately,2571
equivalent,2831
first,13393
maintenance,4298
trust,8779
reason,3782
possible,2324
delegate,808
annually,3312
committee,22044
house,15674
senate,11278
mandatory,1179
pension,995
place,6520
improved,1369
exception,2717
gain,2207
demonstration,4963
knowledge,1915
advisory,6689
bulletin,69
risk,6916
statutory,1468
recognize,614
among,6261
quality,7023
physician,3015
prohibition,3671
consultation,7850
substitution,212
encourage,2527
stay,690
same,10951
publication,1738
jointly,1271
solicitation,686
rules,10585
interim,1405
final,6913
lead,2078
government,25670
release,1992
visitor,634
white,688
responsible,3089
people,4897
legislation,2327
business,19760
several,1244
club,354
beach,184
members,18636
cabinet,81
offer,2250
similar,5095
march,2318
expect,81
location,2632
residence,2922
vice,1780
name,2689
every,3429
guest,32
meeting,3320
post,2274
result,6234
failure,3597
enact,247
regular,2400
continuing,1623
appropriation,2366
resolution,6094
money,2303
corporate,773
direct,5182
loan,12211
current,4734
rate,10685
initiate,702
apportionment,440
regard,4994
submission,2722
foreign,13787
limited,3699
action,15605
prevention,6587
civilian,1392
agency,36210
